"EDUC_MINHS","EDUC_HSONLY","EDUC_MINBA","EDUC_SOMECOLL","EDUC_MIN9TH","EDUC_MINHS_WHITE","EDUC_MINBA_WHITE","EDUC_MINHS_BLACK","EDUC_MINBA_BLACK","EDUC_MINHS_LATINO","EDUC_MINBA_LATINO","EDUC_MINHS_WHITENH","EDUC_MINBA_WHITENH","RACE_HISP","RACE_WHITENH","RACE_BLACKNH","RACE_ASIANNH","RACE_OTHERNH","RACE_MULTIPLENH","BIRTH_FOREIGN","GEOID10"
0.8609012764,0.1237301381,0.5168012503,0.220369888,0.9411305027,0.9668085106,0.8153191489,0.8601398601,0.3384615385,0.7591836735,0.5102040816,0.9863760218,0.8419618529,0.0627232143,0.2819196429,0.3808035714,0.1857142857,0.0058035714,0.0830357143,0.2435267857,6001402800
0.7909465021,0.1481481481,0.4353909465,0.2074074074,0.9069958848,0.993485342,0.7361563518,0.8808510638,0.3531914894,0.9239766082,0.4561403509,0.9926199262,0.7011070111,0.1763869132,0.2155049787,0.1714082504,0.3755334282,0.0156472262,0.0455192034,0.4167852063,6001402900
0.6141669964,0.1412742382,0.2999604274,0.1729323308,0.776414721,0.9292035398,0.592920354,0.1780821918,0.1780821918,0.9393939394,0.6818181818,0.9365079365,0.6243386243,0.0227194492,0.065060241,0.0437177281,0.8144578313,0.0330464716,0.0209982788,0.7325301205,6001403000
0.8286567164,0.1886567164,0.5050746269,0.1349253731,0.9146268657,0.9464285714,0.7808441558,0.7869565217,0.2608695652,0.7164179104,0.3781094527,0.9789674952,0.8565965583,0.1304140885,0.2784388386,0.1765825797,0.3783912423,0.0123750595,0.0237981913,0.2946216088,6001403100
0.7872219053,0.122646891,0.4768967484,0.1876782658,0.8693667998,0.9353182752,0.8131416838,0.7755102041,0.5442176871,1,0.9225806452,0.9289740699,0.7948139797,0.0603159406,0.2616084251,0.0746768789,0.5222594543,0.0239348971,0.057204404,0.4662517951,6001403300
0.9248357424,0.0657030223,0.6819973719,0.1771353482,0.938239159,0.9923484403,0.8369629194,0.9710884354,0.4489795918,1,0.4253968254,0.9919802591,0.8772362739,0.081797235,0.3953917051,0.1914746544,0.2599078341,0.0218894009,0.0495391705,0.2829493088,6001403400
0.924322889,0.0770047796,0.5416887945,0.3056293149,0.9609665428,0.9798308393,0.7651268705,0.9498997996,0.3076152305,0.9498607242,0.4066852368,0.9768829232,0.807606264,0.1226625111,0.374666073,0.2388691006,0.1858860196,0.0140249332,0.0638913624,0.2413178985,6001403501
0.9089906233,0.1086596801,0.6254826255,0.1748483177,0.9564258136,0.9863791146,0.7922814983,0.8871331828,0.3431151242,0.8709677419,0.7050691244,0.9846938776,0.7780612245,0.1193737769,0.4202544031,0.2544031311,0.1110567515,0.0048923679,0.0900195695,0.2069471624,6001403502
0.9279259897,0.1475903614,0.5920826162,0.188253012,0.9782702238,0.9948834565,0.8391131325,0.8502415459,0.2930756844,0.9294532628,0.6666666667,0.9973992198,0.8563068921,0.1391382406,0.2933572711,0.4123877917,0.0937163375,0.008438061,0.052962298,0.2671454219,6001403600
0.938613111,0.1443728685,0.6419098143,0.1523304282,0.949602122,0.9914101646,0.7967072298,0.8193343899,0.2741679873,0.9796511628,0.5436046512,0.9901071723,0.8153338829,0.121967655,0.4302560647,0.2675202156,0.1260107817,0.0097708895,0.0444743935,0.2051886792,6001403701
0.9500860585,0.0378657487,0.678141136,0.2340791738,0.9632816982,1,0.83557394,1,0.432,1,0.6534090909,1,0.8510405257,0.0979274611,0.5191709845,0.1502590674,0.1766839378,0.007253886,0.0487046632,0.1652849741,6001403702
0.9701492537,0.0513710517,0.7837556404,0.1350225616,0.9958347796,0.9950519545,0.8248391885,0.9382352941,0.7147058824,1,0.7346938776,0.9949238579,0.8274111675,0.0358102059,0.6774097284,0.1298119964,0.116980006,0.0011936735,0.0387943897,0.1345866905,6001403800
0.9418502203,0.0511013216,0.7359765051,0.1547723935,0.9618208517,0.9282619162,0.7000481464,0.9140271493,0.6402714932,0.9545454545,0.5619834711,0.9248349416,0.7034027425,0.0743026413,0.5729449519,0.1355220933,0.161688472,0.0022216737,0.0533201679,0.1542828931,6001403900
0.9777957206,0.09002826,0.7182075091,0.1695599516,0.9931368591,0.9932307692,0.7710769231,0.9282296651,0.3444976077,0.9611398964,0.7046632124,0.9923023093,0.7858642407,0.1640759931,0.5519861831,0.0725388601,0.1018998273,0.0397236615,0.069775475,0.2031088083,6001404000
0.987833595,0.0408163265,0.7919937206,0.1550235479,0.9984301413,0.9889624724,0.8068432671,1,0.7259615385,1,0.7087912088,0.9882560188,0.8185554903,0.0702684786,0.6218097448,0.0785548558,0.1259529334,0.0241962214,0.079217766,0.1146834604,6001404101
0.9307915458,0.0787401575,0.6460837132,0.2059676751,0.978864484,0.990990991,0.722972973,0.72,0.472,0.776119403,0.4925373134,0.9928486293,0.7252681764,0.0987561251,0.6649076517,0.0471164719,0.1202412363,0.0263852243,0.0425932906,0.1726347531,6001404102
0.9806126406,0.0333462582,0.792555254,0.1547111283,1,0.9885308575,0.8339705079,1,0.5733333333,1,1,0.9880884855,0.8275666478,0.0559711117,0.6174877483,0.0631931906,0.1898375032,0.0201186484,0.0533917978,0.1993809647,6001404200
0.9889720362,0.0622292241,0.8341866877,0.0925561245,1,0.9848156182,0.8378524946,1,0.7142857143,1,0.7268518519,0.9844617092,0.8340732519,0.1199535289,0.652918966,0.0165553297,0.1356375254,0.0046471101,0.0702875399,0.1684577403,6001404300
0.9673366834,0.0605299223,0.7784376428,0.1283691183,0.9812699863,0.9800950683,0.7994652406,1,0.4045801527,0.7966101695,0.7966101695,0.9903155264,0.8003748828,0.053127221,0.6700426439,0.0232764748,0.1295309168,0.0031982942,0.1208244492,0.1652452026,6001404400
0.974595843,0.0400307929,0.8421862972,0.0923787529,0.9876828329,0.9796126402,0.8450560652,0.8686868687,0.8686868687,0.8472222222,0.8472222222,0.9900990099,0.8448844884,0.0668877833,0.6639027087,0.0674405749,0.1155334439,0.0121614151,0.0740740741,0.1520176893,6001404501
0.9712886713,0.0362786557,0.7598486535,0.1751613621,0.9828622301,0.9824224114,0.8019774787,0.9891304348,0.5760869565,0.9352226721,0.6882591093,0.9864712514,0.8066516347,0.0762179596,0.7550500764,0.0113732813,0.1018502801,0,0.0555084026,0.1629604481,6001404502
0.9833059661,0.0591133005,0.7402846196,0.183908046,0.9939792009,0.9899027674,0.7920718025,1,0.8651685393,0.8766233766,0.5064935065,0.9915384615,0.7880769231,0.0482162162,0.6968648649,0.0384864865,0.1305945946,0.0332972973,0.0525405405,0.1455135135,6001404600
0.9863354037,0.0664596273,0.797515528,0.1223602484,0.9956521739,1,0.8106557377,1,0.75,0.9473684211,0.8859649123,1,0.8010657194,0.0945250351,0.6958352831,0.0598970519,0.1123069724,0.0042115115,0.033224146,0.1034160037,6001404700
0.9298990972,0.0860329262,0.6420605417,0.2018056293,0.9681359533,0.9437551696,0.7121588089,1,0.4297520661,0.752,0.42,0.9896030246,0.7844990548,0.1443143181,0.4937665281,0.1598035512,0.1106913487,0.0117113714,0.0797128825,0.2455610125,6001404800
0.9456092373,0.0732300213,0.5931327864,0.2792464297,0.9772105743,0.9682692308,0.7245192308,1,0.3324324324,0.899713467,0.4240687679,0.9753218884,0.7516094421,0.1184179176,0.5608768168,0.0960209674,0.1536812009,0.0159637837,0.0550393138,0.1636883488,6001404900
0.9740503949,0.0361037984,0.8097028958,0.1282437006,0.9853328319,1,0.8925525867,1,0.6824925816,1,0.7329842932,1,0.8984375,0.0739540365,0.6157925751,0.1172657631,0.1098998232,0.0041249263,0.0789628757,0.1025338833,6001405000
0.9972058367,0.0397392114,0.8354548277,0.1220117976,0.9972058367,1,0.9070422535,1,0.5880149813,1,1,1,0.9061611374,0.0343057176,0.6501750292,0.1355892649,0.1015169195,0.0025670945,0.0758459743,0.0968494749,6001405100
0.9293181818,0.1425,0.5970454545,0.1897727273,0.9693181818,0.9974874372,0.7658291457,0.9966887417,0.6158940397,0.9967897271,0.6388443018,0.9971379508,0.7824842587,0.1584024696,0.3825969516,0.0899093189,0.3154543701,0.0077175381,0.0459193517,0.2396295582,6001405200
0.9595330739,0.0661478599,0.713618677,0.179766537,0.9727626459,0.9806076277,0.8383968972,0.9779874214,0.4748427673,0.9497487437,0.5804020101,0.9930264993,0.8535564854,0.182802979,0.5264048747,0.1147596479,0.1029113067,0.0044008125,0.0687203791,0.1736628301,6001405301
0.7748218527,0.086935867,0.480760095,0.2071258907,0.8693586698,0.8603133159,0.6240208877,0.9615384615,0.608974359,0.5810810811,0.3310810811,0.932735426,0.692077728,0.0809102402,0.3076274758,0.1281078803,0.4230931311,0.0139064475,0.0463548251,0.4820901812,6001405302
0.8024606972,0.1363636364,0.3684210526,0.2976760082,0.8280929597,0.9462809917,0.6611570248,0.8496868476,0.1106471816,0.7641681901,0.3418647166,0.9694656489,0.693129771,0.225877193,0.2053179825,0.1622807018,0.3500548246,0.0098684211,0.0466008772,0.4150219298,6001405401
0.7770859278,0.2432544624,0.2768783728,0.2569530926,0.8625985886,0.9264705882,0.5525210084,0.9333333333,0.1843971631,0.5989847716,0.1700507614,1,0.6383495146,0.2106047066,0.1724754245,0.2579684242,0.2794161454,0.0327673518,0.0467679476,0.4655942806,6001405402
0.8504672897,0.13894081,0.4838006231,0.2277258567,0.8897196262,0.9318435754,0.6569832402,0.9857697283,0.5834411384,0.7340425532,0.5780141844,1,0.7240437158,0.0927835052,0.2141752577,0.2242268041,0.4172680412,0.0149484536,0.0365979381,0.35,6001405500
0.8510383387,0.1617412141,0.5419329073,0.1473642173,0.9309105431,0.946378175,0.7666980245,0.9082352941,0.2752941176,0.7827648115,0.5673249551,1,0.7699468085,0.2422759254,0.2649128174,0.1798715203,0.2223921689,0.0293667788,0.0611807892,0.2792903028,6001405600
0.7105162524,0.1747609943,0.2684512428,0.2673040153,0.8416826004,0.9492600423,0.6997885835,0.8100775194,0.226744186,0.6094986807,0.3245382586,0.9895013123,0.7217847769,0.1365052393,0.1438685925,0.2115548003,0.4602095724,0.0201076182,0.0277541773,0.4103653356,6001405700
0.6760762174,0.2205363444,0.2307692308,0.2247706422,0.785109386,0.7558441558,0.4688311688,0.8501945525,0.2548638132,0.5472972973,0.25,0.9085923218,0.5996343693,0.1704805492,0.1501144165,0.2160183066,0.4281464531,0.0205949657,0.0146453089,0.452173913,6001405800
0.5903416557,0.2401445466,0.1054533509,0.2447437582,0.7299605782,0.524137931,0.0448275862,0.9114219114,0.1282051282,0.4682395644,0.0680580762,0.9379844961,0,0.4130140081,0.0368278355,0.1418888387,0.3655671035,0.0345684591,0.0081337551,0.458427474,6001405901
0.597037037,0.2074074074,0.1925925926,0.197037037,0.7116049383,0.7975708502,0.5101214575,0.8917748918,0.2640692641,0.5034965035,0.1468531469,0.908045977,0.683908046,0.2511896669,0.0876954453,0.119646499,0.4938817131,0.0129163834,0.0346702923,0.5639021074,6001405902
0.7194616977,0.1846100759,0.2729468599,0.2619047619,0.7991718427,0.8136645963,0.4130434783,0.9897172237,0.3187660668,0.5475841874,0.1551976574,1,0.5724020443,0.2360379347,0.1849315068,0.1383034773,0.41886196,0.0007903056,0.0210748156,0.5479452055,6001406000
0.6563398275,0.1580964548,0.3174704567,0.180772916,0.7250079847,0.7589696412,0.4820607176,0.678700361,0.1588447653,0.4337990685,0.1443779108,1,0.6933534743,0.572364251,0.1485315867,0.0891612085,0.1740967674,0.0059159096,0.0099302768,0.461652229,6001406100
0.6278916061,0.2286847323,0.1953073364,0.2038995373,0.7785855915,0.6707616708,0.2506142506,0.9610778443,0.2679640719,0.4357021997,0.1108291032,0.7971014493,0.4106280193,0.4146146146,0.0528528529,0.2114114114,0.2850850851,0.0148148148,0.0212212212,0.4188188188,6001406201
0.6641791045,0.2506218905,0.2475124378,0.1660447761,0.7686567164,0.6265822785,0.2890295359,0.8396793587,0.2004008016,0.5451408856,0.1104082806,0.8490566038,0.5754716981,0.5989204899,0.0950799253,0.1419970936,0.1251816483,0.0234585842,0.0153622587,0.4803819805,6001406202
0.7136548913,0.1966711957,0.1708559783,0.3461277174,0.8192934783,0.8011283498,0.3526093089,0.8767507003,0.0266106443,0.4935400517,0.0904392765,0.9531914894,0.4829787234,0.3376682637,0.1261692904,0.2648870637,0.2420716404,0.0043349304,0.0248688113,0.3264887064,6001406300
0.8721117679,0.2412681354,0.3788285868,0.2520150457,0.9376679205,0.8980582524,0.552184466,0.9738219895,0.2015706806,0.8832335329,0.3383233533,0.9233038348,0.6327433628,0.2145383104,0.3147347741,0.2066797642,0.18978389,0.0082514735,0.0660117878,0.2428290766,6001406400
0.7309763521,0.2765160384,0.2076797003,0.2467806134,0.8508546008,0.8211009174,0.4461009174,0.8991769547,0.2736625514,0.6239495798,0.0945378151,0.9464627151,0.5889101338,0.5047069541,0.1169146675,0.1647433951,0.1401457637,0.0291527483,0.0443364713,0.3322198603,6001406500
0.7355641102,0.2111341427,0.2573289902,0.2671009772,0.8551969203,0.9292517007,0.5850340136,0.729844413,0.1753889675,0.6499032882,0.1121856867,0.9707401033,0.6419965577,0.3560040363,0.1489404642,0.2002018163,0.219778002,0.0030272452,0.0720484359,0.35580222,6001406601
0.7732836615,0.2080894093,0.2825971261,0.2825971261,0.8680149015,0.8814016173,0.5229110512,0.8089005236,0.1884816754,0.7895927602,0.1696832579,0.9187279152,0.6254416961,0.2828020756,0.1260192735,0.1641957005,0.3606375093,0.0174203113,0.0489251297,0.3591549296,6001406602
0.8775023832,0.1220209724,0.5502859867,0.2051954242,0.9096758818,0.9767220903,0.7320665083,0.9391796322,0.3536067893,0.7919191919,0.4060606061,0.9905113337,0.7564575646,0.1382050785,0.4512502423,0.144989339,0.2052723396,0.0160883892,0.0441946114,0.2182593526,6001406700
0.8818011257,0.1103189493,0.5362101313,0.235272045,0.9519699812,0.9819897084,0.6646655232,0.9235127479,0.4220963173,0.942687747,0.5513833992,0.9887640449,0.708886619,0.2531154805,0.3312101911,0.111603434,0.210744946,0.0445859873,0.0487399612,0.1957906397,6001406800
0.9603429796,0.1475526974,0.59056806,0.2222222222,0.9839228296,0.9844357977,0.7607003891,0.9248658318,0.4221824687,0.9116022099,0.4475138122,0.9887244538,0.7766032417,0.1019955654,0.4703436807,0.1856984479,0.1643569845,0.0074833703,0.0701219512,0.189578714,6001406900
0.7462270722,0.2342697934,0.2277687485,0.2841885303,0.8307406547,0.8949624866,0.3762057878,0.9508196721,0.2021857923,0.500463392,0.1186283596,0.9180576631,0.4476479514,0.2995399557,0.131197819,0.210257284,0.2475719884,0.0115863009,0.0998466519,0.3528710172,6001407000
0.6004219409,0.2481012658,0.1725738397,0.1797468354,0.7329113924,0.6802884615,0.2716346154,0.8411552347,0.2563176895,0.5085910653,0.0713058419,1,0.6,0.5422664224,0.0492017796,0.1397539911,0.2501962837,0.0020936928,0.0164878304,0.4676786182,6001407101
0.707186271,0.1698248123,0.2513407222,0.2860207365,0.8734358241,0.8774319066,0.3793774319,0.9596638655,0.225210084,0.5104347826,0.24,0.961038961,0.5064935065,0.445406884,0.099156599,0.260542512,0.1392751311,0.0038750855,0.0517437885,0.2687485753,6001407102
0.5773081201,0.1948832036,0.2046718576,0.177753059,0.7334816463,0.5104321908,0.1937406855,0.7106017192,0.1948424069,0.4483870968,0.1222222222,0.7448979592,0.4102040816,0.6498210451,0.0954903364,0.0844667144,0.1385826772,0.0054402291,0.0261989979,0.5057981389,6001407200
0.6212389381,0.1958702065,0.1775811209,0.2477876106,0.7646017699,0.6220930233,0.2761627907,0.8585858586,0.0858585859,0.417218543,0.0518763797,1,0.5629370629,0.6371900826,0.1181818182,0.1099173554,0.0975206612,0.0061983471,0.0309917355,0.4276859504,6001407300
0.6083840917,0.2529559298,0.1433178072,0.2121103547,0.6990326048,0.7045454545,0.2045454545,0.934086629,0.1619585687,0.4910994764,0.1251308901,0.8333333333,0.6388888889,0.7011697197,0.0176561465,0.1816376076,0.0726109027,0.0019863165,0.024939307,0.4491282278,6001407400
0.6039379023,0.1821279818,0.160545248,0.2612646725,0.770920106,0.6938202247,0.2528089888,0.6359163592,0.1266912669,0.4484304933,0.1390134529,0.9230769231,0.3974358974,0.550360549,0.0416375901,0.2900674575,0.0646662014,0.0111653873,0.0421028146,0.3326354966,6001407500
0.7772998805,0.1541218638,0.3017921147,0.321385902,0.8929510155,0.7504930966,0.5207100592,0.9789081886,0.2301488834,0.56,0.1637735849,0.7879146919,0.586492891,0.320056899,0.167535957,0.390706496,0.0831357673,0,0.0385648807,0.1767030188,6001407600
0.920012747,0.1472275335,0.4391332059,0.3336520076,0.9773741236,0.9755067568,0.6756756757,0.9022869023,0.2182952183,0.8385542169,0.4289156627,0.9866939611,0.7287615148,0.1620572538,0.3000970403,0.4294032023,0.0499757399,0.0080058224,0.0504609413,0.076419214,6001407700
0.8759635599,0.1044148563,0.5360896987,0.2354590049,0.9243167484,0.9732888147,0.7429048414,0.8127753304,0.3788546256,0.8348623853,0.5963302752,0.9897540984,0.7745901639,0.198313783,0.3115835777,0.2364369501,0.2016129032,0.0010997067,0.0509530792,0.1671554252,6001407800
0.9513002364,0.053427896,0.6586288416,0.2392434988,0.9697399527,0.9536208299,0.6794141579,1,0.5966666667,0.7558139535,0.5988372093,0.9596566524,0.6832618026,0.0838844414,0.4970414201,0.1844761573,0.155586495,0.0191437522,0.0598677341,0.1552384267,6001407900
0.9535374868,0.0850052798,0.6821541711,0.1863780359,0.994720169,0.9527687296,0.7076547231,0.9672897196,0.6074766355,1,0.4031007752,0.9496964441,0.724197745,0.1248148148,0.5466666667,0.0925925926,0.1848148148,0.0125925926,0.0385185185,0.1674074074,6001408000
0.951641439,0.0866915667,0.628464714,0.2364851582,0.9771967761,0.9932553957,0.7149280576,0.9093725794,0.5290472502,0.9406175772,0.6080760095,0.9926936191,0.7106673161,0.1006329114,0.4004746835,0.2382911392,0.2036392405,0,0.0569620253,0.2063291139,6001408100
0.9129518072,0.1743975904,0.393373494,0.3451807229,0.9481927711,0.9282407407,0.6180555556,0.9811536265,0.2786978869,0.6164383562,0.3515981735,0.9245283019,0.6357039187,0.1560175055,0.1824945295,0.5142231947,0.0520787746,0.0142231947,0.0809628009,0.1461706783,6001408200
0.8290986895,0.1773201391,0.3495587055,0.3022198449,0.8964963894,0.8925022584,0.5013550136,0.9138851802,0.3210947931,0.5221674877,0.2397372742,0.9530416222,0.5442902882,0.2193382207,0.2250842084,0.3719041014,0.1167029919,0.013275213,0.0536952645,0.1955617198,6001408300
0.8104575163,0.2654600302,0.1533433886,0.3916540975,0.857717446,0.8742690058,0.2134502924,0.8217922607,0.0916496945,0.7337110482,0.1473087819,0.9308510638,0.3244680851,0.3780068729,0.0743517651,0.5029678226,0.0162449235,0.0059356451,0.0224929709,0.1871290222,6001408400
0.6416982153,0.237155219,0.13601947,0.2685235262,0.8223363981,0.5303030303,0.1060606061,0.8686987104,0.1864009379,0.3945912723,0.0774431469,0.432,0.168,0.536054877,0.024092354,0.3682449389,0.0220846579,0.02359043,0.0259327422,0.2874351681,6001408500
0.6472148541,0.2047263082,0.1897757415,0.2527128044,0.8186640945,0.6369863014,0.2157534247,0.9237555135,0.2413358538,0.3700828157,0.0848861284,1,0.3663366337,0.5235343856,0.0331172492,0.3518883878,0.0425591883,0.0026775648,0.0462232244,0.3062288613,6001408600
0.7559086395,0.3255213505,0.1823237339,0.2480635551,0.8796425025,0.5753286148,0.190091001,0.8834408602,0.2430107527,0.5934237996,0.0323590814,0.7359855335,0.3399638336,0.4507523075,0.0838285498,0.4187634341,0.0228853205,0,0.0237703882,0.2574282463,6001408700
0.569884364,0.2388134741,0.0299145299,0.30115636,0.8159879336,0.5276752768,0.0811808118,0.8187919463,0.0237949969,0.3333333333,0.0365923385,0.3982300885,0.0619469027,0.4663589313,0.0541334452,0.380193034,0.0430829487,0.0504965729,0.0057350678,0.3275982655,6001408800
0.6121602948,0.2330723169,0.1202210963,0.2588668816,0.8000921234,0.6224489796,0.2210884354,0.7949125596,0.0858505564,0.4411290323,0.0733870968,0.8796296296,0.537037037,0.6593344614,0.0493513818,0.2140439932,0.0456852792,0.0098702764,0.021714608,0.3846587704,6001408900
